"YEAR","JURISDICTION","AGE_GROUP","Sum(FINES)"
2024,"VIC","0-16",7
2024,"VIC","17-25",4692
2024,"VIC","26-39",17100
2024,"VIC","40-64",19129
2024,"VIC","65 and over",2968
2024,"VIC","Unknown",11179
2024,"WA","0-16",1
2024,"WA","17-25",804
2024,"WA","26-39",1655
2024,"WA","40-64",1138
2024,"WA","65 and over",133
